"PhysicalDataID","StationCode","Date","Time","WeatherCode","Tide","MicrocystisVisualRank","WaterTemperature","Secchi","Conductivity","SpCnd","pH","DO","Turbidity","Datetime","Year","Month","MonthAbb","Flag_PQC","Comment_PQC"
1571,"SHR",2018-04-11,"09:18:00","CLD",NA,NA,13.9,0.25,80,102,7.36,9.63,44.7,1523438280,"2018","4","Apr","NA",NA
1569,"STTD",2017-07-06,"12:30:00","CLR",NA,1,24.2,0.17,390,396,8.01,6.6,47.5,1499344200,"2017","7","Jul","NA",NA
1567,"STTD",2017-06-28,"10:50:00","CLR",NA,1,22.3,0.2,305,321,8.07,7.61,29.8,1498647000,"2017","6","Jun","NA",NA
1565,"SHR",2018-03-29,"08:57:00","CLD",NA,NA,12.6,0.44,81,106,7.45,10.2,22.3,1522313820,"2018","3","Mar","NA",NA
1564,"STTD",2018-03-28,"09:30:00","CLR",NA,NA,14.6,0.23,568,707,7.99,8.37,38.7,1522229400,"2018","3","Mar","NA",NA
1563,"SHR",2018-03-13,"09:40:00","RAN",NA,NA,14,1,129,164,7.71,10.17,6.1,1520934000,"2018","3","Mar","NA",NA
1561,"STTD",2018-03-14,"09:48:00","CLD",NA,NA,14.9,0.37,640,793,7.95,7.56,21.2,1521020880,"2018","3","Mar","NA",NA
1560,"SHR",2018-02-14,"10:02:00","CLD",NA,NA,10.5,1,127,176,7.63,10.8,7.2,1518602520,"2018","2","Feb","NA",NA
1558,"STTD",2018-02-13,"09:15:00","CLR",NA,NA,11.2,0.36,554,752,7.87,8.54,21.3,1518513300,"2018","2","Feb","NA",NA
1557,"SHR",2018-01-31,"10:11:00","CLR",NA,NA,10,0.5,121,169,7.67,10.81,15.1,1517393460,"2018","1","Jan","NA",NA
1556,"STTD",2018-01-30,"09:50:00","FOG",NA,NA,10.3,0.33,478,665,7.77,8.86,26.2,1517305800,"2018","1","Jan","NA",NA
1554,"SHR",2018-02-27,"10:17:00","CLR",NA,NA,9.2,0.9,123,176,7.48,11.09,9.7,1519726620,"2018","2","Feb","NA",NA
1552,"STTD",2018-02-28,"09:54:00","CLR",NA,NA,9.2,0.34,615,881,8.09,11.65,17.6,1519811640,"2018","2","Feb","NA",NA
1551,"STTD",2018-01-17,"09:45:00","FOG",NA,NA,11.4,0.37,431,583,7.55,6.87,24.3,1516182300,"2018","1","Jan","NA",NA
1549,"SHR",2018-01-18,"09:27:00","FOG",NA,NA,11.2,0.7,144,196,7.39,9.97,17.9,1516267620,"2018","1","Jan","NA",NA
1547,"STTD",2018-01-02,"10:49:00","CLD",NA,1,8.6,0.69,439,640,7.89,10.9,7.5,1514890140,"2018","1","Jan","NA",NA
1546,"SHR",2018-01-04,"09:24:00","CLD",NA,1,9.8,1,114,161,7.54,11,5.7,1515057840,"2018","1","Jan","NA",NA
1545,"STTD",2017-12-20,"10:00:00","CLR",NA,NA,8.7,0.45,157,228,6.96,11.36,15.2,1513764000,"2017","12","Dec","NA",NA
1543,"SHR",2017-12-19,"09:50:00","CLD",NA,NA,9.2,0.7,116,166,7.43,11.07,8.6,1513677000,"2017","12","Dec","NA",NA
1542,"SHR",2017-12-14,"09:32:00","CLR",NA,NA,9.4,1.28,115,163,7.51,10.97,5.1,1513243920,"2017","12","Dec","NA",NA
1541,"STTD",2017-12-13,"09:41:00","CLR",NA,NA,8.3,0.75,159,234,7.16,10.91,8.7,1513158060,"2017","12","Dec","NA",NA
1539,"STTD",2017-11-29,"08:50:00","CLR",NA,NA,13,0.36,214,277,7.52,8.02,18.1,1511945400,"2017","11","Nov","NA",NA
1537,"SHR",2017-11-28,"09:30:00","CLR",NA,NA,13,0.8,137,178,7.56,9.31,11.3,1511861400,"2017","11","Nov","NA",NA
1533,"STTD",2017-11-15,"09:07:00","RAN",NA,1,14.4,0.9,144,181,7.78,9.22,7.5,1510736820,"2017","11","Nov","NA",NA
1531,"SHR",2017-11-14,"09:20:00","CLR",NA,NA,13.8,1,132,168,7.11,9.28,9.2,1510651200,"2017","11","Nov","NA",NA
1530,"STTD",2017-11-02,"09:27:00","CLD",NA,NA,15.7,0.43,132,161,7.22,8.63,15.2,1509614820,"2017","11","Nov","NA",NA
1528,"SHR",2017-11-01,"09:37:00","CLR",NA,NA,15.1,1.5,98,121,7.64,9.48,3.63,1509529020,"2017","11","Nov","NA",NA
1526,"STTD",2017-10-19,"10:14:00","CLD",NA,1,15.9,0.62,131,159,7.82,9.59,9.1,1508408040,"2017","10","Oct","NA",NA
1524,"SHR",2017-10-19,"11:25:00","CLD",NA,NA,15,NA,89,110,7.53,9.96,4.2,1508412300,"2017","10","Oct","NA",NA
1523,"SHR",2017-10-17,"09:50:00","CLD",NA,NA,14.8,1.5,90,112,7.17,9.88,0.6,1508233800,"2017","10","Oct","NA",NA
1522,"STTD",2017-10-04,"10:05:00","CLR",NA,NA,16.9,0.39,144,171,7.73,8.61,11.9,1507111500,"2017","10","Oct","NA",NA
1520,"SHR",2017-10-03,"09:48:00","CLR",NA,NA,16,1.01,81,98,7.81,9.64,1.2,1507024080,"2017","10","Oct","NA",NA
1518,"SHR",2017-09-19,"09:35:00","CLR",NA,NA,18.9,0.95,101,116,7.55,9.14,3.5,1505813700,"2017","9","Sep","NA",NA
1517,"STTD",2017-09-20,"10:20:00","CLR",NA,NA,20.4,0.35,170.4,186.8,7.72,7.97,14.7,1505902800,"2017","9","Sep","NA",NA
1511,"STTD",2017-07-19,"10:10:00","CLR",NA,1,25.2,0.25,234.9,234.2,8.14,6.94,30.5,1500459000,"2017","7","Jul","NA",NA
1499,"STTD",2017-08-02,"10:32:00","CLR",NA,1,24.9,0.2,202,202,7.89,7.09,23.3,1501669920,"2017","8","Aug","NA",NA
1489,"STTD",2017-08-16,"10:55:00","CLR",NA,1,22.6,0.3,185,194,8.05,7.34,29.1,1502880900,"2017","8","Aug","NA",NA
1477,"STTD",2017-08-30,"10:59:00","CLR",NA,1,24.8,0.21,185,185,7.78,7.13,19.9,1504090740,"2017","8","Aug","NA",NA
1468,"SHR",2017-09-12,"10:15:00","CLR",NA,1,20.4,NA,117,127,7.54,8.79,4.2,1505211300,"2017","9","Sep","NA",NA
1464,"STTD",2017-09-13,"10:55:00","CLR",NA,1,24.1,0.2,188,191,7.78,6.95,20.5,1505300100,"2017","9","Sep","NA",NA
1424,"SHR",2017-08-15,"09:36:00","CLR",NA,1,20.6,0.85,102,111,7.52,8.66,8.4,1502789760,"2017","8","Aug","NA",NA
1423,"SHR",2017-08-29,"09:05:00","CLR",NA,1,21.2,0.9,111,120,7.77,8.53,8.1,1503997500,"2017","8","Aug","NA",NA
1422,"SHR",2017-08-01,"08:55:00","CLR",NA,NA,21.8,NA,98,104,7.79,8.64,8.2,1501577700,"2017","8","Aug","NA",NA
1421,"SHR",2017-07-18,"08:42:00","CLR",NA,1,22.3,1.7,104,110,7.58,8.5,7.6,1500367320,"2017","7","Jul","NA",NA
1419,"SHR",2017-06-27,"08:56:00","CLR",NA,1,20.6,1.8,88.4,96.5,7.1,8.76,4.5,1498553760,"2017","6","Jun","NA",NA
1416,"STTD",2017-05-09,"10:23:00","CLR",NA,1,21.6,0.2,476,510,7.99,6.24,45.6,1494325380,"2017","5","May","NA",NA
1415,"SHR",2017-05-17,"07:38:00","CLR",NA,1,14.5,1,70.6,88.3,7.09,10.17,21.4,1495006680,"2017","5","May","NA",NA
1414,"STTD",2017-05-16,"10:10:00","CLD",NA,1,19.1,0.32,473,533,7.94,6.97,23.4,1494929400,"2017","5","May","NA",NA
1412,"STTD",2017-05-30,"11:05:00","CLD",NA,1,21.9,0.2,644,685,7.95,6.5,38.6,1496142300,"2017","5","May","NA",NA
1410,"SHR",2017-05-31,"09:18:00","CLD",NA,NA,16.9,NA,75,88,7.14,9.55,11,1496222280,"2017","5","May","NA",NA
1408,"STTD",2017-06-12,"10:30:00","CLD",NA,NA,21,0.17,551,596,7.75,4.82,54,1497263400,"2017","6","Jun","NA",NA
1407,"SHR",2017-06-13,"08:15:00","CLR",NA,1,16.5,1.2,88.7,106,7.46,9.29,14,1497341700,"2017","6","Jun","NA",NA
1405,"STTD",2017-04-13,"10:09:00","RAN",NA,1,14.7,0.26,114,217,7.9,9.14,27.7,1492078140,"2017","4","Apr","NA",NA
1404,"STTD",2017-04-18,"09:40:00","CLD",NA,1,13.4,0.33,100,129,7.24,9.26,22,1492508400,"2017","4","Apr","NA",NA
1402,"SHR",2017-04-19,"08:48:00","CLR",NA,1,12.1,1,66,87.4,7.25,11.02,18.8,1492591680,"2017","4","Apr","NA",NA
1401,"STTD",2017-04-26,"09:49:00","RAN",NA,1,15.7,0.41,99.3,121,7.11,9.53,18,1493200140,"2017","4","Apr","NA",NA
1400,"SHR",2017-05-04,"10:08:00","CLR",NA,1,16.4,0.42,83,100,7.55,9.73,14.7,1493892480,"2017","5","May","NA",NA
1398,"STTD",2017-05-05,"10:25:00","CLR",NA,1,20.1,0.21,225,249,8.09,8.11,28.8,1493979900,"2017","5","May","NA",NA
1397,"STTD",2017-03-28,"09:05:00","CLR",NA,NA,13.4,0.33,157,201,7.84,9.94,21.8,1490691900,"2017","3","Mar","NA",NA
1396,"SHR",2017-04-04,"08:40:00","CLD",NA,NA,13.5,0.3,98,125,7.56,10.31,26.5,1491295200,"2017","4","Apr","NA",NA
1395,"STTD",2017-04-05,"09:46:00","CLD",NA,1,17,0.26,414,489,8.14,8.33,33.8,1491385560,"2017","4","Apr","NA",NA
